bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,256.0,24.0,232.0,9.375,90.625,256.0,24.0,232.0,0.09568614942987003,46.5863453815261,46.49065923209623,0.10344827586206896,232000.0,720.0,231280.0
2.0,256.0,116.0,140.0,45.3125,54.6875,512.0,140.0,372.0,0.5581692050075752,74.6987951807229,74.14062597571532,0.3763440860215054,372000.0,4200.0,367800.0
3.0,255.0,224.0,31.0,87.84313725490196,12.156862745098039,767.0,364.0,403.0,1.4512399330196954,80.92369477911646,79.47245484609677,0.9032258064516129,403000.0,10920.0,392080.0
4.0,256.0,240.0,16.0,93.75,6.25,1023.0,604.0,419.0,2.4081014273183956,84.13654618473896,81.72844475742056,1.441527446300716,419000.0,18120.0,400880.0
5.0,256.0,245.0,11.0,95.703125,4.296875,1279.0,849.0,430.0,3.384897536081652,86.34538152610442,82.96048399002277,1.9744186046511627,430000.0,25470.0,404530.0
6.0,256.0,248.0,8.0,96.875,3.125,1535.0,1097.0,438.0,4.373654413523642,87.95180722891567,83.57815281539203,2.5045662100456623,438000.0,32910.0,405090.0
7.0,256.0,250.0,6.0,97.65625,2.34375,1791.0,1347.0,444.0,5.370385136751455,89.1566265060241,83.78624136927264,3.0337837837837838,444000.0,40410.0,403590.0
8.0,255.0,251.0,4.0,98.43137254901961,1.5686274509803866,2046.0,1598.0,448.0,6.371102782872179,89.95983935742971,83.58873657455753,3.5669642857142856,448000.0,47940.0,400060.0
9.0,256.0,254.0,2.0,99.21875,0.78125,2302.0,1852.0,450.0,7.383781197671637,90.36144578313252,82.97766458546089,4.115555555555556,450000.0,55560.0,394440.0
10.0,256.0,253.0,3.0,98.828125,1.171875,2558.0,2105.0,453.0,8.392472689578183,90.96385542168674,82.57138273210856,4.6467991169977925,453000.0,63150.0,389850.0
11.0,256.0,253.0,3.0,98.828125,1.171875,2814.0,2358.0,456.0,9.40116418148473,91.56626506024097,82.16510087875623,5.171052631578948,456000.0,70740.0,385260.0
12.0,256.0,255.0,1.0,99.609375,0.390625,3070.0,2613.0,457.0,10.417829519177099,91.76706827309236,81.34923875391526,5.717724288840262,457000.0,78390.0,378610.0
13.0,255.0,255.0,0.0,100.0,0.0,3325.0,2868.0,457.0,11.434494856869469,91.76706827309236,80.3325734162229,6.275711159737418,457000.0,86040.0,370960.0
14.0,256.0,254.0,2.0,99.21875,0.78125,3581.0,3122.0,459.0,12.447173271668927,92.16867469879519,79.72150142712626,6.801742919389978,459000.0,93660.0,365340.0
15.0,256.0,256.0,0.0,100.0,0.0,3837.0,3378.0,459.0,13.467825532254206,92.16867469879519,78.70084916654098,7.359477124183006,459000.0,101340.0,357660.0
16.0,256.0,253.0,3.0,98.828125,1.171875,4093.0,3631.0,462.0,14.476517024160753,92.7710843373494,78.29456731318864,7.859307359307359,462000.0,108930.0,353070.0
17.0,256.0,253.0,3.0,98.828125,1.171875,4349.0,3884.0,465.0,15.4852085160673,93.37349397590361,77.88828545983631,8.352688172043012,465000.0,116520.0,348480.0
18.0,255.0,254.0,1.0,99.6078431372549,0.39215686274509665,4604.0,4138.0,466.0,16.497886930866756,93.57429718875503,77.07641025788827,8.879828326180258,466000.0,124140.0,341860.0
19.0,256.0,256.0,0.0,100.0,0.0,4860.0,4394.0,466.0,17.51853919145204,93.57429718875503,76.05575799730299,9.429184549356224,466000.0,131820.0,334180.0
20.0,256.0,253.0,3.0,98.828125,1.171875,5116.0,4647.0,469.0,18.527230683358585,94.17670682730923,75.64947614395065,9.908315565031982,469000.0,139410.0,329590.0
21.0,256.0,255.0,1.0,99.609375,0.390625,5372.0,4902.0,470.0,19.54389602105095,94.37751004016064,74.83361401910969,10.429787234042553,470000.0,147060.0,322940.0
22.0,256.0,255.0,1.0,99.609375,0.390625,5628.0,5157.0,471.0,20.56056135874332,94.57831325301204,74.01775189426871,10.949044585987261,471000.0,154710.0,316290.0
23.0,255.0,254.0,1.0,99.6078431372549,0.39215686274509665,5883.0,5411.0,472.0,21.57323977354278,94.77911646586345,73.20587669232067,11.463983050847459,472000.0,162330.0,309670.0
24.0,256.0,256.0,0.0,100.0,0.0,6139.0,5667.0,472.0,22.59389203412806,94.77911646586345,72.18522443173539,12.00635593220339,472000.0,170010.0,301990.0
25.0,256.0,255.0,1.0,99.609375,0.390625,6395.0,5922.0,473.0,23.61055737182043,94.97991967871486,71.36936230689443,12.520084566596195,473000.0,177660.0,295340.0
26.0,256.0,256.0,0.0,100.0,0.0,6651.0,6178.0,473.0,24.63120963240571,94.97991967871486,70.34871004630915,13.061310782241014,473000.0,185340.0,287660.0
27.0,256.0,255.0,1.0,99.609375,0.390625,6907.0,6433.0,474.0,25.64787497009808,95.18072289156626,69.53284792146817,13.571729957805907,474000.0,192990.0,281010.0
28.0,255.0,255.0,0.0,100.0,0.0,7162.0,6688.0,474.0,26.664540307790446,95.18072289156626,68.51618258377582,14.109704641350211,474000.0,200640.0,273360.0
29.0,256.0,255.0,1.0,99.609375,0.390625,7418.0,6943.0,475.0,27.681205645482816,95.38152610441767,67.70032045893485,14.616842105263158,475000.0,208290.0,266710.0
30.0,256.0,256.0,0.0,100.0,0.0,7674.0,7199.0,475.0,28.701857906068096,95.38152610441767,66.67966819834957,15.15578947368421,475000.0,215970.0,259030.0
31.0,256.0,256.0,0.0,100.0,0.0,7930.0,7455.0,475.0,29.722510166653375,95.38152610441767,65.6590159377643,15.694736842105263,475000.0,223650.0,251350.0
32.0,256.0,256.0,0.0,100.0,0.0,8186.0,7711.0,475.0,30.74316242723866,95.38152610441767,64.63836367717902,16.233684210526317,475000.0,231330.0,243670.0
33.0,255.0,254.0,1.0,99.6078431372549,0.39215686274509665,8441.0,7965.0,476.0,31.755840842038115,95.58232931726907,63.82648847523096,16.733193277310924,476000.0,238950.0,237050.0
34.0,256.0,256.0,0.0,100.0,0.0,8697.0,8221.0,476.0,32.7764931026234,95.58232931726907,62.80583621464567,17.271008403361346,476000.0,246630.0,229370.0
35.0,256.0,255.0,1.0,99.609375,0.390625,8953.0,8476.0,477.0,33.793158440315764,95.78313253012048,61.98997408980472,17.769392033542978,477000.0,254280.0,222720.0
36.0,256.0,255.0,1.0,99.609375,0.390625,9209.0,8731.0,478.0,34.80982377800813,95.9839357429719,61.174111964963764,18.265690376569037,478000.0,261930.0,216070.0
37.0,256.0,256.0,0.0,100.0,0.0,9465.0,8987.0,478.0,35.83047603859341,95.9839357429719,60.153459704378484,18.801255230125523,478000.0,269610.0,208390.0
38.0,255.0,254.0,1.0,99.6078431372549,0.39215686274509665,9720.0,9241.0,479.0,36.84315445339287,96.18473895582329,59.34158450243042,19.292275574112736,479000.0,277230.0,201770.0
39.0,256.0,256.0,0.0,100.0,0.0,9976.0,9497.0,479.0,37.86380671397815,96.18473895582329,58.32093224184514,19.826722338204593,479000.0,284910.0,194090.0
40.0,256.0,256.0,0.0,100.0,0.0,10232.0,9753.0,479.0,38.88445897456343,96.18473895582329,57.30027998125986,20.36116910229645,479000.0,292590.0,186410.0
41.0,256.0,255.0,1.0,99.609375,0.390625,10488.0,10008.0,480.0,39.9011243122558,96.3855421686747,56.4844178564189,20.85,480000.0,300240.0,179760.0
42.0,256.0,256.0,0.0,100.0,0.0,10744.0,10264.0,480.0,40.92177657284108,96.3855421686747,55.46376559583362,21.383333333333333,480000.0,307920.0,172080.0
43.0,255.0,255.0,0.0,100.0,0.0,10999.0,10519.0,480.0,41.93844191053345,96.3855421686747,54.447100258141255,21.914583333333333,480000.0,315570.0,164430.0
44.0,256.0,256.0,0.0,100.0,0.0,11255.0,10775.0,480.0,42.95909417111873,96.3855421686747,53.426447997555975,22.447916666666668,480000.0,323250.0,156750.0
45.0,256.0,256.0,0.0,100.0,0.0,11511.0,11031.0,480.0,43.97974643170401,96.3855421686747,52.405795736970695,22.98125,480000.0,330930.0,149070.0
46.0,256.0,256.0,0.0,100.0,0.0,11767.0,11287.0,480.0,45.00039869228929,96.3855421686747,51.385143476385416,23.514583333333334,480000.0,338610.0,141390.0
47.0,256.0,256.0,0.0,100.0,0.0,12023.0,11543.0,480.0,46.021050952874575,96.3855421686747,50.36449121580013,24.047916666666666,480000.0,346290.0,133710.0
48.0,255.0,254.0,1.0,99.6078431372549,0.39215686274509665,12278.0,11797.0,481.0,47.03372936767403,96.5863453815261,49.552616013852074,24.525987525987524,481000.0,353910.0,127090.0
49.0,256.0,256.0,0.0,100.0,0.0,12534.0,12053.0,481.0,48.05438162825931,96.5863453815261,48.531963753266794,25.058212058212057,481000.0,361590.0,119410.0
50.0,256.0,255.0,1.0,99.609375,0.390625,12790.0,12308.0,482.0,49.07104696595168,96.78714859437751,47.71610162842583,25.53526970954357,482000.0,369240.0,112760.0
51.0,256.0,256.0,0.0,100.0,0.0,13046.0,12564.0,482.0,50.09169922653696,96.78714859437751,46.69544936784055,26.066390041493776,482000.0,376920.0,105080.0
52.0,256.0,256.0,0.0,100.0,0.0,13302.0,12820.0,482.0,51.11235148712224,96.78714859437751,45.67479710725527,26.597510373443985,482000.0,384600.0,97400.0
53.0,255.0,254.0,1.0,99.6078431372549,0.39215686274509665,13557.0,13074.0,483.0,52.1250299019217,96.98795180722891,44.86292190530721,27.06832298136646,483000.0,392220.0,90780.0
54.0,256.0,256.0,0.0,100.0,0.0,13813.0,13330.0,483.0,53.14568216250698,96.98795180722891,43.84226964472193,27.598343685300208,483000.0,399900.0,83100.0
55.0,256.0,254.0,2.0,99.21875,0.78125,14069.0,13584.0,485.0,54.15836057730643,97.38955823293173,43.2311976556253,28.008247422680412,485000.0,407520.0,77480.0
56.0,256.0,256.0,0.0,100.0,0.0,14325.0,13840.0,485.0,55.17901283789171,97.38955823293173,42.21054539504002,28.536082474226806,485000.0,415200.0,69800.0
57.0,256.0,255.0,1.0,99.609375,0.390625,14581.0,14095.0,486.0,56.195678175584085,97.59036144578313,41.394683270199046,29.002057613168724,486000.0,422850.0,63150.0
58.0,255.0,255.0,0.0,100.0,0.0,14836.0,14350.0,486.0,57.21234351327645,97.59036144578313,40.37801793250668,29.526748971193417,486000.0,430500.0,55500.0
59.0,256.0,256.0,0.0,100.0,0.0,15092.0,14606.0,486.0,58.23299577386173,97.59036144578313,39.3573656719214,30.05349794238683,486000.0,438180.0,47820.0
60.0,256.0,256.0,0.0,100.0,0.0,15348.0,14862.0,486.0,59.25364803444701,97.59036144578313,38.33671341133612,30.580246913580247,486000.0,445860.0,40140.0
61.0,256.0,255.0,1.0,99.609375,0.390625,15604.0,15117.0,487.0,60.270313372139384,97.79116465863454,37.52085128649516,31.041067761806982,487000.0,453510.0,33490.0
62.0,256.0,254.0,2.0,99.21875,0.78125,15860.0,15371.0,489.0,61.282991786938844,98.19277108433735,36.90977929739851,31.43353783231084,489000.0,461130.0,27870.0
63.0,255.0,255.0,0.0,100.0,0.0,16115.0,15626.0,489.0,62.29965712463121,98.19277108433735,35.89311395970614,31.955010224948875,489000.0,468780.0,20220.0
64.0,256.0,256.0,0.0,100.0,0.0,16371.0,15882.0,489.0,63.32030938521649,98.19277108433735,34.87246169912086,32.47852760736196,489000.0,476460.0,12540.0
65.0,256.0,255.0,1.0,99.609375,0.390625,16627.0,16137.0,490.0,64.33697472290886,98.39357429718875,34.056599574279886,32.93265306122449,490000.0,484110.0,5890.0
66.0,256.0,256.0,0.0,100.0,0.0,16883.0,16393.0,490.0,65.35762698349414,98.39357429718875,33.03594731369461,33.45510204081633,490000.0,491790.0,-1790.0
67.0,256.0,255.0,1.0,99.609375,0.390625,17139.0,16648.0,491.0,66.3742923211865,98.59437751004016,32.22008518885366,33.90631364562118,491000.0,499440.0,-8440.0
68.0,255.0,254.0,1.0,99.6078431372549,0.39215686274509665,17394.0,16902.0,492.0,67.38697073598597,98.79518072289157,31.408209986905604,34.353658536585364,492000.0,507060.0,-15060.0
69.0,256.0,256.0,0.0,100.0,0.0,17650.0,17158.0,492.0,68.40762299657125,98.79518072289157,30.387557726320324,34.8739837398374,492000.0,514740.0,-22740.0
70.0,256.0,256.0,0.0,100.0,0.0,17906.0,17414.0,492.0,69.42827525715653,98.79518072289157,29.366905465735044,35.39430894308943,492000.0,522420.0,-30420.0
71.0,256.0,256.0,0.0,100.0,0.0,18162.0,17670.0,492.0,70.44892751774181,98.79518072289157,28.346253205149765,35.91463414634146,492000.0,530100.0,-38100.0
72.0,256.0,256.0,0.0,100.0,0.0,18418.0,17926.0,492.0,71.46957977832709,98.79518072289157,27.325600944564485,36.4349593495935,492000.0,537780.0,-45780.0
73.0,255.0,255.0,0.0,100.0,0.0,18673.0,18181.0,492.0,72.48624511601946,98.79518072289157,26.30893560687211,36.953252032520325,492000.0,545430.0,-53430.0
74.0,256.0,256.0,0.0,100.0,0.0,18929.0,18437.0,492.0,73.50689737660474,98.79518072289157,25.288283346286832,37.47357723577236,492000.0,553110.0,-61110.0
75.0,256.0,256.0,0.0,100.0,0.0,19185.0,18693.0,492.0,74.52754963719002,98.79518072289157,24.267631085701552,37.99390243902439,492000.0,560790.0,-68790.0
76.0,256.0,255.0,1.0,99.609375,0.390625,19441.0,18948.0,493.0,75.54421497488238,98.99598393574297,23.45176896086059,38.4340770791075,493000.0,568440.0,-75440.0
77.0,256.0,255.0,1.0,99.609375,0.390625,19697.0,19203.0,494.0,76.56088031257475,99.19678714859438,22.63590683601963,38.87246963562753,494000.0,576090.0,-82090.0
78.0,255.0,255.0,0.0,100.0,0.0,19952.0,19458.0,494.0,77.57754565026713,99.19678714859438,21.619241498327256,39.388663967611336,494000.0,583740.0,-89740.0
79.0,256.0,256.0,0.0,100.0,0.0,20208.0,19714.0,494.0,78.5981979108524,99.19678714859438,20.598589237741976,39.906882591093115,494000.0,591420.0,-97420.0
80.0,256.0,255.0,1.0,99.609375,0.390625,20464.0,19969.0,495.0,79.61486324854478,99.39759036144578,19.782727112901,40.34141414141414,495000.0,599070.0,-104070.0
81.0,256.0,256.0,0.0,100.0,0.0,20720.0,20225.0,495.0,80.63551550913006,99.39759036144578,18.76207485231572,40.85858585858586,495000.0,606750.0,-111750.0
