iter	Passed	Remaining
0	5	5001
1	9	4974
2	15	5080
3	19	4929
4	24	4923
5	29	4894
6	33	4763
7	38	4768
8	43	4765
9	47	4730
10	52	4729
11	57	4719
12	62	4716
13	67	4740
14	72	4757
15	77	4761
16	82	4756
17	87	4747
18	91	4747
19	96	4737
20	101	4725
21	106	4714
22	110	4687
23	114	4663
24	119	4643
25	123	4625
26	127	4603
27	131	4581
28	136	4559
29	141	4569
30	146	4575
31	151	4574
32	156	4579
33	162	4623
34	169	4659
35	176	4723
36	198	5166
37	204	5184
38	212	5246
39	218	5242
40	227	5311
41	232	5299
42	239	5332
43	245	5324
44	250	5316
45	257	5332
46	262	5316
47	267	5306
48	276	5357
49	281	5340
50	286	5323
51	291	5310
52	296	5301
53	302	5292
54	308	5294
55	313	5282
56	319	5278
57	324	5269
58	329	5261
59	335	5253
60	341	5249
61	345	5231
62	351	5221
63	356	5207
64	361	5206
65	367	5205
66	373	5194
67	378	5182
68	383	5169
69	388	5157
70	392	5137
71	397	5124
72	402	5113
73	407	5099
74	411	5080
75	416	5069
76	421	5054
77	427	5049
78	432	5037
79	436	5018
80	440	4999
81	445	4985
82	450	4974
83	455	4971
84	461	4967
85	467	4969
86	473	4965
87	478	4955
88	483	4951
89	488	4941
90	493	4930
91	498	4922
92	503	4912
93	508	4905
94	513	4894
95	518	4883
96	523	4873
97	528	4860
98	533	4852
99	538	4844
100	542	4832
101	547	4818
102	551	4803
103	555	4789
104	560	4779
105	566	4774
106	570	4764
107	575	4756
108	580	4743
109	585	4735
110	589	4722
111	594	4713
112	599	4703
113	603	4692
114	609	4689
115	614	4679
116	618	4669
117	623	4663
118	628	4655
119	633	4647
120	638	4641
121	644	4634
122	649	4627
123	654	4620
124	658	4612
125	663	4603
126	668	4595
127	673	4588
128	678	4580
129	682	4568
130	687	4559
131	692	4555
132	697	4546
133	702	4537
134	707	4530
135	711	4523
136	717	4517
137	722	4510
138	726	4502
139	731	4494
140	736	4488
141	741	4479
142	746	4471
143	751	4464
144	755	4457
145	760	4448
146	765	4441
147	770	4436
148	775	4426
149	779	4417
150	784	4410
151	789	4403
152	794	4397
153	799	4391
154	804	4384
155	809	4378
156	814	4371
157	818	4362
158	823	4355
159	828	4347
160	833	4340
161	837	4334
162	842	4327
163	847	4322
164	851	4310
165	856	4304
166	861	4296
167	865	4285
168	869	4276
169	874	4267
170	878	4258
171	883	4252
172	887	4244
173	892	4236
174	896	4228
175	902	4223
176	906	4216
177	911	4209
178	916	4204
179	921	4198
180	926	4191
181	931	4185
182	936	4179
183	940	4172
184	945	4167
185	950	4161
186	955	4155
187	960	4146
188	965	4141
189	970	4137
190	975	4133
191	985	4148
192	991	4143
193	996	4139
194	1001	4134
195	1006	4129
196	1011	4123
197	1024	4150
198	1031	4153
199	1041	4167
200	1053	4186
201	1072	4237
202	1081	4246
203	1088	4249
204	1099	4264
205	1105	4262
206	1110	4253
207	1115	4245
208	1120	4240
209	1125	4232
210	1130	4226
211	1137	4226
212	1143	4223
213	1148	4218
214	1153	4212
215	1159	4206
216	1163	4199
217	1169	4193
218	1173	4184
219	1179	4181
220	1185	4179
221	1191	4175
222	1196	4169
223	1203	4170
224	1208	4163
225	1213	4155
226	1219	4152
227	1226	4152
228	1232	4150
229	1238	4145
230	1243	4138
231	1248	4132
232	1253	4125
233	1258	4118
234	1263	4112
235	1268	4104
236	1273	4099
237	1286	4117
238	1291	4113
239	1297	4109
240	1302	4103
241	1307	4096
242	1313	4091
243	1318	4084
244	1323	4077
245	1327	4069
246	1331	4060
247	1336	4051
248	1340	4043
249	1345	4036
250	1349	4028
251	1354	4019
252	1358	4012
253	1363	4004
254	1367	3996
255	1372	3988
256	1376	3980
257	1381	3972
258	1385	3964
259	1390	3958
260	1394	3949
261	1400	3943
262	1404	3935
263	1408	3927
264	1413	3920
265	1418	3913
266	1422	3906
267	1426	3897
268	1431	3890
269	1435	3881
270	1440	3876
271	1446	3871
272	1452	3868
273	1458	3864
274	1463	3858
275	1468	3852
276	1474	3849
277	1480	3844
278	1485	3838
279	1490	3832
280	1495	3826
281	1500	3820
282	1506	3817
283	1511	3811
284	1519	3811
285	1525	3808
286	1531	3805
287	1537	3800
288	1543	3798
289	1551	3797
290	1557	3794
291	1563	3790
292	1568	3785
293	1574	3781
294	1580	3777
295	1585	3771
296	1591	3768
297	1596	3761
298	1601	3755
299	1607	3750
300	1612	3744
301	1617	3738
302	1624	3736
303	1630	3732
304	1636	3728
305	1640	3720
306	1644	3713
307	1650	3707
308	1655	3701
309	1660	3694
310	1665	3688
311	1670	3683
312	1675	3676
313	1681	3673
314	1686	3667
315	1691	3661
316	1696	3655
317	1701	3649
318	1706	3643
319	1711	3635
320	1716	3630
321	1721	3623
322	1725	3616
323	1730	3610
324	1735	3604
325	1740	3597
326	1745	3591
327	1750	3585
328	1754	3579
329	1760	3573
330	1764	3567
331	1769	3560
332	1774	3554
333	1779	3547
334	1784	3542
335	1789	3536
336	1794	3530
337	1799	3524
338	1804	3518
339	1809	3512
340	1813	3505
341	1819	3500
342	1824	3495
343	1832	3494
344	1837	3488
345	1842	3482
346	1847	3477
347	1853	3472
348	1858	3466
349	1863	3461
350	1869	3456
351	1874	3451
352	1880	3445
353	1885	3440
354	1890	3435
355	1896	3430
356	1901	3425
357	1907	3421
358	1912	3414
359	1916	3407
360	1922	3402
361	1926	3395
362	1933	3392
363	1937	3385
364	1944	3382
365	1949	3376
366	1954	3370
367	1961	3367
368	1965	3361
369	1971	3356
370	1977	3352
371	1982	3347
372	1990	3346
373	1996	3341
374	2001	3335
375	2007	3331
376	2012	3325
377	2017	3320
378	2023	3315
379	2028	3309
380	2034	3304
381	2039	3299
382	2044	3293
383	2049	3288
384	2055	3283
385	2060	3276
386	2065	3271
387	2070	3266
388	2075	3260
389	2082	3256
390	2088	3253
391	2095	3249
392	2105	3252
393	2112	3249
394	2118	3244
395	2123	3238
396	2129	3234
397	2134	3228
398	2139	3223
399	2146	3219
400	2151	3213
401	2157	3209
402	2163	3204
403	2167	3198
404	2173	3193
405	2179	3188
406	2184	3182
407	2190	3178
408	2194	3171
409	2200	3166
410	2205	3160
411	2210	3154
412	2215	3148
413	2220	3142
414	2225	3136
415	2230	3130
416	2234	3123
417	2238	3117
418	2243	3111
419	2248	3105
420	2253	3099
421	2258	3093
422	2263	3087
423	2267	3081
424	2272	3074
425	2276	3067
426	2281	3061
427	2285	3054
428	2290	3048
429	2294	3041
430	2299	3035
431	2303	3028
432	2307	3021
433	2312	3015
434	2316	3008
435	2320	3002
436	2325	2995
437	2329	2989
438	2334	2982
439	2338	2975
440	2342	2969
441	2347	2963
442	2351	2957
443	2356	2950
444	2361	2945
445	2366	2939
446	2372	2934
447	2376	2928
448	2381	2922
449	2385	2915
450	2390	2909
451	2394	2903
452	2399	2897
453	2403	2890
454	2408	2884
455	2412	2878
456	2417	2872
457	2422	2866
458	2426	2859
459	2430	2853
460	2435	2847
461	2440	2841
462	2444	2835
463	2449	2829
464	2453	2822
465	2457	2816
466	2462	2810
467	2466	2803
468	2470	2797
469	2475	2791
470	2479	2784
471	2483	2778
472	2488	2773
473	2492	2766
474	2497	2760
475	2501	2753
476	2508	2750
477	2513	2745
478	2518	2739
479	2522	2732
480	2527	2727
481	2533	2722
482	2537	2716
483	2542	2710
484	2547	2705
485	2552	2699
486	2557	2693
487	2562	2688
488	2566	2682
489	2571	2676
490	2576	2670
491	2581	2665
492	2585	2659
493	2590	2653
494	2595	2647
495	2599	2641
496	2605	2636
497	2611	2632
498	2616	2626
499	2622	2622
500	2627	2616
501	2633	2612
502	2638	2607
503	2643	2601
504	2649	2596
505	2654	2591
506	2659	2586
507	2665	2581
508	2669	2575
509	2674	2569
510	2680	2564
511	2685	2559
512	2693	2557
513	2698	2551
514	2704	2546
515	2711	2543
516	2716	2538
517	2722	2532
518	2727	2527
519	2731	2521
520	2742	2521
521	2747	2515
522	2751	2509
523	2759	2506
524	2764	2501
525	2770	2496
526	2775	2491
527	2780	2485
528	2785	2479
529	2789	2474
530	2794	2468
531	2798	2461
532	2803	2456
533	2807	2450
534	2813	2445
535	2818	2439
536	2823	2434
537	2827	2428
538	2834	2423
539	2839	2418
540	2845	2414
541	2850	2408
542	2855	2403
543	2860	2398
544	2865	2392
545	2871	2387
546	2875	2381
547	2880	2375
548	2885	2370
549	2889	2364
550	2894	2358
551	2899	2353
552	2904	2347
553	2909	2342
554	2914	2336
555	2919	2331
556	2924	2325
557	2929	2320
558	2933	2314
559	2938	2308
560	2943	2303
561	2948	2297
562	2953	2292
563	2957	2286
564	2962	2280
565	2966	2274
566	2971	2269
567	2977	2264
568	2983	2259
569	2989	2255
570	2997	2252
571	3004	2248
572	3013	2245
573	3019	2240
574	3024	2235
575	3030	2230
576	3035	2225
577	3041	2220
578	3049	2217
579	3054	2211
580	3059	2206
581	3065	2201
582	3070	2196
583	3076	2191
584	3082	2186
585	3087	2181
586	3092	2176
587	3098	2170
588	3103	2165
589	3109	2160
590	3114	2155
591	3119	2149
592	3126	2145
593	3131	2140
594	3136	2135
595	3141	2129
596	3146	2124
597	3151	2118
598	3156	2113
599	3161	2107
600	3167	2102
601	3172	2097
602	3177	2092
603	3182	2086
604	3187	2081
605	3192	2075
606	3197	2070
607	3202	2064
608	3207	2059
609	3212	2053
610	3217	2048
611	3222	2043
612	3227	2037
613	3233	2033
614	3239	2027
615	3243	2022
616	3248	2016
617	3253	2011
618	3258	2005
619	3263	2000
620	3268	1994
621	3273	1989
622	3278	1983
623	3282	1978
624	3287	1972
625	3292	1967
626	3297	1961
627	3302	1956
628	3307	1950
629	3312	1945
630	3317	1939
631	3322	1934
632	3327	1929
633	3332	1923
634	3337	1918
635	3342	1912
636	3347	1907
637	3351	1901
638	3356	1896
639	3361	1890
640	3366	1885
641	3371	1879
642	3376	1874
643	3381	1869
644	3386	1863
645	3391	1858
646	3397	1853
647	3403	1849
648	3408	1843
649	3413	1838
650	3418	1832
651	3423	1827
652	3428	1822
653	3433	1816
654	3438	1811
655	3443	1805
656	3449	1800
657	3453	1795
658	3458	1789
659	3463	1784
660	3468	1778
661	3472	1773
662	3477	1767
663	3482	1762
664	3487	1756
665	3491	1751
666	3496	1745
667	3501	1740
668	3506	1734
669	3511	1729
670	3516	1724
671	3521	1718
672	3526	1713
673	3531	1708
674	3537	1703
675	3542	1697
676	3547	1692
677	3552	1687
678	3557	1681
679	3562	1676
680	3567	1671
681	3572	1665
682	3577	1660
683	3582	1654
684	3587	1649
685	3591	1644
686	3597	1638
687	3602	1633
688	3607	1628
689	3612	1622
690	3616	1617
691	3621	1611
692	3626	1606
693	3631	1601
694	3636	1595
695	3640	1590
696	3645	1584
697	3650	1579
698	3656	1574
699	3661	1569
700	3667	1564
701	3672	1559
702	3678	1554
703	3683	1548
704	3688	1543
705	3693	1538
706	3699	1532
707	3704	1527
708	3709	1522
709	3714	1517
710	3719	1511
711	3725	1506
712	3730	1501
713	3735	1496
714	3741	1491
715	3749	1487
716	3754	1481
717	3759	1476
718	3763	1470
719	3769	1465
720	3773	1460
721	3778	1454
722	3782	1449
723	3787	1443
724	3791	1438
725	3796	1432
726	3801	1427
727	3806	1422
728	3811	1417
729	3817	1411
730	3821	1406
731	3826	1401
732	3832	1395
733	3837	1390
734	3841	1385
735	3846	1379
736	3851	1374
737	3856	1369
738	3861	1363
739	3866	1358
740	3871	1353
741	3876	1347
742	3880	1342
743	3885	1336
744	3890	1331
745	3895	1326
746	3899	1320
747	3904	1315
748	3909	1310
749	3914	1304
750	3919	1299
751	3924	1294
752	3928	1288
753	3934	1283
754	3939	1278
755	3944	1273
756	3949	1267
757	3954	1262
758	3959	1257
759	3964	1251
760	3969	1246
761	3974	1241
762	3980	1236
763	3985	1230
764	3990	1225
765	3995	1220
766	4000	1215
767	4005	1209
768	4011	1204
769	4016	1199
770	4020	1194
771	4025	1188
772	4030	1183
773	4035	1178
774	4040	1173
775	4045	1167
776	4050	1162
777	4055	1157
778	4059	1151
779	4064	1146
780	4068	1140
781	4074	1135
782	4079	1130
783	4084	1125
784	4088	1119
785	4093	1114
786	4098	1109
787	4103	1104
788	4108	1098
789	4113	1093
790	4117	1088
791	4122	1082
792	4127	1077
793	4131	1071
794	4135	1066
795	4140	1061
796	4146	1056
797	4151	1050
798	4156	1045
799	4161	1040
800	4165	1034
801	4170	1029
802	4175	1024
803	4179	1018
804	4184	1013
805	4189	1008
806	4194	1003
807	4198	997
808	4203	992
809	4208	987
810	4214	982
811	4219	976
812	4224	971
813	4231	966
814	4236	961
815	4243	956
816	4248	951
817	4253	946
818	4259	941
819	4263	935
820	4269	930
821	4274	925
822	4280	920
823	4285	915
824	4290	910
825	4295	904
826	4301	899
827	4306	894
828	4312	889
829	4318	884
830	4323	879
831	4328	874
832	4334	868
833	4339	863
834	4344	858
835	4348	853
836	4354	847
837	4359	842
838	4364	837
839	4369	832
840	4374	827
841	4379	821
842	4384	816
843	4389	811
844	4394	806
845	4399	800
846	4404	795
847	4408	790
848	4413	785
849	4418	779
850	4423	774
851	4428	769
852	4433	764
853	4438	758
854	4444	753
855	4448	748
856	4453	743
857	4458	737
858	4464	732
859	4471	727
860	4476	722
861	4480	717
862	4484	711
863	4490	706
864	4495	701
865	4499	696
866	4505	691
867	4510	685
868	4514	680
869	4519	675
870	4524	670
871	4530	664
872	4535	659
873	4540	654
874	4544	649
875	4549	644
876	4554	638
877	4559	633
878	4564	628
879	4569	623
880	4573	617
